,Language,Name,Symbol
0,Standard_German,Voiced bilabial plosive,b
1,Standard_German,Voiceless velar fricative,x
2,Standard_German,Voiceless palatal fricative,ç
3,Standard_German,Voiced alveolar plosive,d
4,Standard_German,Voiceless labiodental fricative,f
5,Standard_German,Voiced velar plosive,ɡ
6,Standard_German,Voiceless glottal fricative,h
7,Standard_German,Voiced palatal approximant,j
8,Standard_German,Voiceless velar plosive,k
9,Standard_German,Voiced alveolar lateral approximant,l
10,Standard_German,Voiced bilabial nasal,m
11,Standard_German,Voiced alveolar nasal,n
12,Standard_German,Voiced velar nasal,ŋ
13,Standard_German,Voiceless bilabial plosive,p
14,Standard_German,Voiceless labiodental affricate,pf
15,Standard_German,Voiced uvular fricative,ʁ
16,Standard_German,Voiced alveolar trill,r
17,Standard_German,Voiced alveolar fricative,z
18,Standard_German,Voiceless alveolar fricative,s
19,Standard_German,Voiceless alveolar fricative,s
20,Standard_German,Voiceless postalveolar fricative,ʃ
21,Standard_German,Voiceless alveolar plosive,t
22,Standard_German,Voiceless postalveolar affricate,tʃ
23,Standard_German,Voiced labiodental fricative,v
24,Standard_German,Voiceless alveolar affricate,ts
25,Standard_German,Glottal stop,ʔ
26,Standard_German,Voiced postalveolar affricate,dʒ
27,Standard_German,Voiced postalveolar fricative,ʒ
28,Standard_German,Voiced alveolar approximant,ɹ
29,Standard_German,Voiced dental fricative,ð
30,Standard_German,Voiceless dental fricative,θ
31,Standard_German,Voiced labial–velar approximant,w
32,Adyghe,Voiced bilabial plosive,b
33,Adyghe,Voiceless alveolo-palatal fricative,ɕ
34,Adyghe,Voiced alveolar plosive,d
35,Adyghe,Voiced alveolar affricate,dz
36,Adyghe,Voiced postalveolar affricate,dʒ
37,Adyghe,Voiceless labiodental fricative,f
38,Adyghe,Voiced velar fricative,ɣ
39,Adyghe,Voiceless pharyngeal fricative,ħ
40,Adyghe,Voiced palatal approximant,j
41,Adyghe,Voiced alveolar lateral fricative,l
42,Adyghe,Voiceless alveolar lateral fricative,ɬ
43,Adyghe,Voiced bilabial nasal,m
44,Adyghe,Voiced alveolar nasal,n
45,Adyghe,Voiceless bilabial plosive,p
46,Adyghe,Voiceless uvular plosive,q
47,Adyghe,Voiced alveolar trill,r
48,Adyghe,Voiced uvular fricative,ʁ
49,Adyghe,Voiceless alveolar fricative,s
50,Adyghe,Voiceless postalveolar fricative,ʃ
51,Adyghe,Voiceless retroflex fricative,ʂ
52,Adyghe,Voiceless alveolar plosive,t
53,Adyghe,Voiceless alveolar affricate,ts
54,Adyghe,Voiceless postalveolar affricate,tʃ
55,Adyghe,Voiceless retroflex affricate,tʂ
56,Adyghe,Voiced labial–velar approximant,w
57,Adyghe,Voiceless velar fricative,x
58,Adyghe,Voiceless uvular fricative,χ
59,Adyghe,Voiced alveolar fricative,z
60,Adyghe,Voiced alveolo-palatal fricative,ʑ
61,Adyghe,Voiced postalveolar fricative,ʒ
62,Adyghe,Voiced retroflex fricative,ʐ
63,Adyghe,Glottal stop,ʔ
64,Adyghe,Voiceless velar plosive,k
65,Adyghe,Voiced labiodental fricative,v
66,Afrikaans,Voiced bilabial plosive,b
67,Afrikaans,Voiced alveolar plosive,d
68,Afrikaans,Voiceless labiodental fricative,f
69,Afrikaans,Voiced glottal fricative,ɦ
70,Afrikaans,Voiced palatal approximant,j
71,Afrikaans,Voiceless velar plosive,k
72,Afrikaans,Voiced alveolar lateral approximant,l
73,Afrikaans,Voiced bilabial nasal,m
74,Afrikaans,Voiced alveolar nasal,n
75,Afrikaans,Voiced velar nasal,ŋ
76,Afrikaans,Voiceless bilabial plosive,p
77,Afrikaans,Voiced alveolar trill,r
78,Afrikaans,Voiceless alveolar fricative,s
79,Afrikaans,Voiceless postalveolar fricative,ʃ
80,Afrikaans,Voiceless alveolar plosive,t
81,Afrikaans,Voiceless postalveolar affricate,tʃ
82,Afrikaans,Voiceless uvular fricative,χ
83,Afrikaans,Voiced labiodental fricative,v
84,Afrikaans,Voiced postalveolar fricative,ʒ
85,Afrikaans,Glottal stop,ʔ
86,Afrikaans,Voiced postalveolar affricate,dʒ
87,Afrikaans,Voiced velar plosive,ɡ
88,Afrikaans,Voiced labial–velar approximant,w
89,Afrikaans,Voiced alveolar fricative,z
90,Albanian,Voiced bilabial plosive,b
91,Albanian,Voiceless palatal affricate,c
92,Albanian,Voiced alveolar plosive,d
93,Albanian,Voiced alveolar affricate,dz
94,Albanian,Voiced postalveolar affricate,dʒ
95,Albanian,Voiced dental fricative,ð
96,Albanian,Voiceless labiodental fricative,f
97,Albanian,Voiced velar plosive,ɡ
98,Albanian,Voiceless glottal fricative,h
99,Albanian,Voiced palatal approximant,j
100,Albanian,Voiced palatal affricate,ɟ
101,Albanian,Voiceless velar plosive,k
102,Albanian,Voiced alveolar lateral approximant,l
103,Albanian,Voiced bilabial nasal,m
104,Albanian,Voiced alveolar nasal,n
105,Albanian,Voiced palatal nasal,ɲ
106,Albanian,Voiced velar nasal,ŋ
107,Albanian,Voiceless bilabial plosive,p
108,Albanian,Voiced alveolar trill,r
109,Albanian,Voiced dental and alveolar taps and flaps,ɾ
110,Albanian,Voiceless alveolar fricative,s
111,Albanian,Voiceless postalveolar fricative,ʃ
112,Albanian,Voiceless alveolar plosive,t
113,Albanian,Voiceless alveolar affricate,ts
114,Albanian,Voiceless postalveolar affricate,tʃ
115,Albanian,Voiced labiodental fricative,v
116,Albanian,Voiced alveolar fricative,z
117,Albanian,Voiced postalveolar fricative,ʒ
118,Albanian,Voiceless dental fricative,θ
119,Arabic,Voiced palatal approximant,j
120,Arabic,Voiced labial–velar approximant,w
121,Arabic,Voiced bilabial plosive,b
122,Arabic,Voiced alveolar plosive,d
123,Arabic,Voiced alveolar plosive,d
124,Arabic,Voiced postalveolar affricate,dʒ
125,Arabic,Voiced dental fricative,ð
126,Arabic,Voiced dental fricative,ð
127,Arabic,Voiceless labiodental fricative,f
128,Arabic,Voiceless glottal fricative,h
129,Arabic,Voiceless pharyngeal fricative,ħ
130,Arabic,Voiced palatal approximant,j
131,Arabic,Voiceless velar plosive,k
132,Arabic,Voiced alveolar lateral approximant,l
133,Arabic,Voiced bilabial nasal,m
134,Arabic,Voiced alveolar nasal,n
135,Arabic,Voiceless uvular plosive,q
136,Arabic,Voiced alveolar trill,r
137,Arabic,Voiceless alveolar fricative,s
138,Arabic,Voiceless alveolar fricative,s
139,Arabic,Voiceless postalveolar fricative,ʃ
140,Arabic,Voiceless alveolar plosive,t
141,Arabic,Voiceless alveolar plosive,t
142,Arabic,Voiceless dental fricative,θ
143,Arabic,Voiced labial–velar approximant,w
144,Arabic,Voiceless velar fricative,x
145,Arabic,Voiceless uvular fricative,χ
146,Arabic,Voiced velar fricative,ɣ
147,Arabic,Voiced uvular fricative,ʁ
148,Arabic,Voiced alveolar fricative,z
149,Arabic,Glottal stop,ʔ
150,Arabic,Voiced pharyngeal fricative,ʕ
151,Arabic,Voiceless dental fricative,θ
152,Arabic,Voiceless uvular plosive,q
153,Arabic,Voiced alveolar trill,r
154,Arabic,Voiceless uvular plosive,q
155,Arabic,Voiced alveolar trill,r
156,Arabic,Voiced velar plosive,ɡ
157,Arabic,Voiced postalveolar fricative,ʒ
158,Arabic,Voiceless uvular plosive,q
159,Arabic,Voiced alveolar trill,r
160,Arabic,Voiceless pharyngeal fricative,ħ
161,Arabic,Voiced pharyngeal fricative,ʕ
162,Arabic,Voiceless uvular plosive,q
163,Arabic,Voiced alveolar trill,r
164,Arabic,Voiceless pharyngeal fricative,ħ
165,Arabic,Voiced pharyngeal fricative,ʕ
166,Arabic,Voiceless uvular plosive,q
167,Arabic,Voiced alveolar trill,r
168,Arabic,Voiceless pharyngeal fricative,ħ
169,Arabic,Voiced pharyngeal fricative,ʕ
170,Arabic,Voiceless uvular plosive,q
171,Arabic,Voiced alveolar trill,r
172,Arabic,Voiceless pharyngeal fricative,ħ
173,Arabic,Voiced pharyngeal fricative,ʕ
174,Egyptian_Arabic,Glottal stop,ʔ
175,Egyptian_Arabic,Voiced pharyngeal fricative,ʕ
176,Egyptian_Arabic,Voiced bilabial plosive,b
177,Egyptian_Arabic,Voiced alveolar plosive,d
178,Egyptian_Arabic,Voiced alveolar plosive,d
179,Egyptian_Arabic,Voiceless labiodental fricative,f
180,Egyptian_Arabic,Voiced velar plosive,ɡ
181,Egyptian_Arabic,Voiceless glottal fricative,h
182,Egyptian_Arabic,Voiceless pharyngeal fricative,ħ
183,Egyptian_Arabic,Voiced palatal approximant,j
184,Egyptian_Arabic,Voiceless velar plosive,k
185,Egyptian_Arabic,Voiced alveolar lateral approximant,l
186,Egyptian_Arabic,Voiced bilabial nasal,m
187,Egyptian_Arabic,Voiced alveolar nasal,n
188,Egyptian_Arabic,Voiceless uvular plosive,q
189,Egyptian_Arabic,Voiced dental and alveolar taps and flaps,ɾ
190,Egyptian_Arabic,Voiceless alveolar fricative,s
191,Egyptian_Arabic,Voiceless alveolar fricative,s
192,Egyptian_Arabic,Voiceless postalveolar fricative,ʃ
193,Egyptian_Arabic,Voiceless alveolar plosive,t
194,Egyptian_Arabic,Voiceless alveolar plosive,t
195,Egyptian_Arabic,Voiced labial–velar approximant,w
196,Egyptian_Arabic,Voiceless velar fricative,x
197,Egyptian_Arabic,Voiced velar fricative,ɣ
198,Egyptian_Arabic,Voiced alveolar fricative,z
199,Egyptian_Arabic,Voiced alveolar fricative,z
200,Egyptian_Arabic,Voiceless bilabial plosive,p
201,Egyptian_Arabic,Voiced labiodental fricative,v
202,Egyptian_Arabic,Voiced postalveolar fricative,ʒ
203,Hejazi_Arabic,Glottal stop,ʔ
204,Hejazi_Arabic,Voiced pharyngeal fricative,ʕ
205,Hejazi_Arabic,Voiced bilabial plosive,b
206,Hejazi_Arabic,Voiced alveolar plosive,d
207,Hejazi_Arabic,Voiced alveolar plosive,d
208,Hejazi_Arabic,Voiced postalveolar affricate,dʒ
209,Hejazi_Arabic,Voiced dental fricative,ð
210,Hejazi_Arabic,Voiceless labiodental fricative,f
211,Hejazi_Arabic,Voiced velar plosive,ɡ
212,Hejazi_Arabic,Voiceless uvular plosive,q
213,Hejazi_Arabic,Voiceless glottal fricative,h
214,Hejazi_Arabic,Voiceless pharyngeal fricative,ħ
215,Hejazi_Arabic,Voiced palatal approximant,j
